username,rating,comment
chan.wei,2,"第一次购买，还没有开封但是包装不错，希望是好吃的😁😋😋😋如果好吃的话会再光顾的！
first buy, not yet open. Hope nice,if not bad will buy it second time. 虽然面对零食有肿胀问题賣家有及时回应，但我还是会避免购买一些产品了。适量的零食ok，但会更看重产品的保质期。这自热锅味道不错，不过内料不多慎选。"
k*****g,3,"Taste:Guilty pleasure, oily as usual
Quality:As expected

First time trying this brand, taste just like any other brand."
c*****g,5,"Good value for money, but if have ready stock more better lah ~ no need waiting so long time ~ haha ~ 👍🏻"
ooijolin,5,Fast delivery and item received in a good condition 👍👍👍👍👍👍👍
chzeling0625,5,"卖家包装到很严实🌹东西收到非常很满意，发货快 还会再次回购 ☺️谢谢卖家 😉
Seller ship out very fast 👍 
The seller’s packaging is also very good,item good quality and packing 
Thank you Seller  😍"
saveon_line92,5,"Thanks you seller 😊
Love it so much, it is worth buying
Will buy again"
lztheng,5,"Delivery fast
Packing very good.
Quality good
Nice
Perfect"
p*****y,5,"Taste:good taste delicious
Quality:good 😊

Very fast delivery and good seller
Highly recommended to members"
s*****1,5,"Taste:good

Very good！fast delivery and packing is also not bad！👍🏻"
jenny.12345678,5,Good delivery time to order from the shopee shop your order is ready to
raelxh,5,"Fast delivery, cheapwr than buy from mixx, very satisfied with all items received, good packging"
n*****n,5,"Taste:looks good from outside, haven't tried yet. hope is nice and tasty"
e*****n,5,"Item received in excellent condition and fast, well packed delivery"
joyi1115,5,"Taste:mala spicy
Quality:good

fast delivery🚚nice product 👍🏻high quality😘h"
thiam0525,5,听很多说 很好吃，所以入手看看 ，试吃好不好吃，，，物流也很快的好吧，前两天买的，今天到了，niceeee。。。
a*****2,5,"Taste:good
Quality:good

The hotpot taste good. Just the container rosak and cant use anymore during the delivery. Luckily i aet hotpot before and i had kept the container, so it is not a big issue for me."
e*****2,5,"Taste:麻辣特爽
Quality:好吃

Everything is in good condition ,fast delivery ,good value for money ,good service ,thank you ~"
l*****1,5,"Taste:good
Quality:good

everyone wanted to buy this just buy it taste is so good i love IT"
l*****1,5,"Taste:好
Quality:好

很好吃 喜欢的可以冲 特别香 宽粉巨好吃 爱吃的完全可以无脑入 love this food so much eatwith my friend"
s*****g,4,Delicious but not spicy to me. The delivery from seller took some time
s*****s,5,"Fast delivery with excellent packaging, good value for money"
amberlimm09,5,"Fast delivery,!
Good quality!
Good seller 
Basically it's ok"
leelayyee,5,"Taste:overall is ok
Quality:1

Is ok taste...smell good...just very oily...can try for it..."
linafong0831,5,"⭐️⭐️⭐️⭐️⭐️  fast delivery 
Good service 
will repeat the order"
b*****1,5,当你看到这段话的时候，说明我对此产品很是满意，后来者可以放心大胆的购买，我并非一个不负责任的买家，如果产品不好，我也会花一番功夫来好好评论一下的！
viviantiger99,5,Fast delivery 🚚 price is reasonable recommended buy with this seller
feelfreeallan8.8,5,"Taste:good

The product is very nice, the shipping is fast and the packaging is very good.  .  I am very satisfied 😊👌"
m*****5,5,"Taste:faster delivery and good packing,  thank you seller arrange for me,  buy never try again ha ha
Quality:8"
karenleong1314,5,"Taste:❤️

Super fast, I like your store very much.Late to comment🙂❤️"
s*****w,5,"Taste:haven't taste it, but I think is okay
Quality:good

Very fast delivery, just took 3 days"
h*****5,5,"Taste:haven‘t try but i think it is delicious！

nice packing and very fast delivery！"
ziyingchai455,5,Good packing good taste very spicy like chongqing yummy good
3*****y,5,"Taste:very good...
Quality:very good...

Delivery so fast and packaging good..."
q*****n,5,"Taste:taste good
Quality:good

Fast delivery 🚚 my third purchase from here 👍"
1*****0,5,"Taste:haven’t try. Hopefully suit my taste.
Quality:good packaging

However it is 390g not 420g. Hopefully this may help others buyer to know better."
z*****n,5,"Taste:good
Quality:nice

The package arrives very quickly！I like this design very much！And the price is very reasonable！Highly recommended🥰🥰🥰😍😍😍😍😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️❤️❤️👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍"
c*****y,1,"Received in 14/2, product expiry date is 23/2/2022…OMG ! I haven’t try it, but I hope the taste and ingredients are still good 
anyway, lazy to ask for refund ald.. those who want to purchase, remember to confirm with seller on the expiration date, or else u need to finish is as soon as possible"
b*****1,5,当你看到这段话的时候，说明我对此产品很是满意，后来者可以放心大胆的购买，我并非一个不负责任的买家，如果产品不好，我也会花一番功夫来好好评论一下的！
c*****i,5,发货很快！几天就到了 祝老板事业蒸蒸日上，生意兴隆，财源广进 生意兴隆通四海，财源茂盛达三江。祝君青云直上，飞黄腾达
x*****1,5,Taste:Tomato taste very nice. The noodles texture is very special.
c*****n,5,"Deliveryyyyy abit slow, but overall is not bad............."
lynn7905,5,"tqvm seller, hantar dengan cepat dan barang di dalam keadaan baik baik"
c*****n,5,Very fast deliveryyyyy!!!! Ordered 25 /11 received while 26 /11! !!
jiawernho99,5,Fast shipping. Not expired. Cheap sale during 2.2. Get lots of coins cashback.
l*****i,5,"Taste:Quite spicy and the ingredients are not enough to eat
Quality:Quality is fine without dented

If you like to have a full meal then you might need to buy more than two"
seejiawei39,5,"Taste:It is tasty than I expected.

Received in good condition and fast delivery. Good value for money too."
l*****5,5,"Taste:Tasty
Quality:Product received in good condition and the quantity received is correct"
skydoveg85,5,"Good value for money.
Fast delivery.
Good product quality. 
Excellent service"
k*****7,5,"Quality:good
Taste:spicy

My 3rd time repurchase ;
Good in taste and value for money"
pinky.gft,1,Parcel not properly handled. Few items are damage. Seller refuse to return & refund. Not recommended seller.
m*****3,5,"Quality:no bad

is okay，can try，have many more choose，very good haha"
z*****3,5,Fast delivery and received with good condition.. will order again.
w*****6,5,"first time purchase this steamboat, fast delivery, everything okay, no crushed"
dazenlim,5,Received in good condition and well packed. Fast delivery and good quality product as usual...
p*****1,5,receive in good condition，worth to buy it and fast delivery
r*****g,5,"Yummy yummy yummy ,i love this hot pot yummy yummy yummy yummy"
f*****s,5,"Return buyer. Satisfied with purchase from this seller.
💯👍"
fungteng92,5,"Good value for money 
Fast delivery 
Excellent service by seller"
r*****g,5,"Good good, received it in good good good , thanks seller,this second time buy at this shop, good, recommend buy."
y*****9,5,Good product of quality. Good value for money... Fast delivery.
b*****1,5,The seller shipped fast and the packaging of the item was pretty good.
jackleong55,5,"Fast delivery and good packaging as well
Thank you seller 😄😄👍👍
Always my choice to purchase at this shop 😉😉
Love it ❤️❤️"
yenz7685,5,Fast delivery from seller.... received in good condition....good
y*****t,5,"Packed nicely in a box hence no damages, repeated order with this trust worthy seller"
s*****l,5,Yummyyyyyy~~~ home made cheap hotpot! 2nd time buying it!!
c*****9,5,delicious and very nice one!!!! cheaper that other seller..tq
h*****6,5,"Taste:consider ok for this price, got vege inside and one sausages

forget to take video"
f*****s,5,"Return buyer. Satisfied with purchase from this seller.
💯👍"
n*****l,5,"Fast delivery 
Good product quality
Good packaging 
Overall great!!"
j*****8,5,"Taste:should be ok
Quality:should be good

Fast delivery, Good value for money"
l*****3,5,Fast delivery and item receive in good condition. Had purchase from this shop many times. Good 👍
v*****0,5,The expired date is ok 👍👍👍. Took about one week to receive after payment made.
m*****d,5,"Product received in good condition......
Well packing........"
w*****n,5,Fast delivery received in good condition very recommend heihei
k*****8,5,Yup such a nice purchase. I've received in a good condition and the things packed nicely. I will buy it again though.
s*****w,5,"Taste:Haven't taste yet, but I think is good😆
Quality:Nice, receive in good condition👍"
x*****_,5,Tried this once and totally in love with this compare to other 酸辣粉！
lecoco.my,5,Good product quality Good service provided by seller fast delivery setvice overall good
x*****_,5,Fast delivery. Bought it during 9.9. Will try it out soon. Nice packaging
mytalent,5,fast delivery 👍👍👍👍good packaging 👍👍👍👍👍 trusted seller 👍👍👍
debbie1029_,5,Quite fast delivery 🚚 Ordered on 11/11 and got it on 17/11 .
m*****7,5,thank you very much...................................
9t9ww4n1y9,5,"Good packing and Good condition
No dented and expiry date until year 2022"
j*****_,5,My fav 酸辣粉 always recommend it . It’s quite spicy so I don’t recommend if you can’t take spice well
e*****3,5,The products arrived in good condition. Thank you seller!!!!!!
jesyuki,5,"Received in good condition with cheap price, thanks seller"
nicolechew88,5,Taste:Good packaging ，Good product quality，Good value for money，Fast delivery，Excellent service by seller.
a*****9,5,Unexpected fast delivery. Took less than a week. Surprisingly the box is custom made with their logo on it. Thought it’s normal used box. Recommended
soopuiyan,5,Good................................................
s*****1,5,"Super fast of delivery speed.
Recieved items in good condition."
c*****7,5,Seller packed the items without bubble wrap or proper wrapping in box. The items seem delicious and can't wait to try it.
b*****e,5,本重庆人觉得味道还不错，钵钵鸡淡了点，不过能在异国他乡吃到这种速食包装的各种中国食物真是太好了！想念家乡的美食！
t*****e,5,"我还没吃 我希望好吃 吃了我才update👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍

：不错吃"
lehyungloh,5,"Simple and fast food,so easy.gooooooooooooooooooood"
pengsan,5,First time buying from this seller. Haven’t tried it yet but it looks tasty.
yeanveen,5,Wrapped in good.... Received in good condition i hope it tastes nice 😉
michelle_ng0310,5,All well received. Looks good. Worth buying!!!!! Will come back again!
c*****e,5,First time bought this product from this seller. Overall satisfied..... Thank you seller
jackytek99,5,Cheap fast and good packing.  All items items new and not expired so sooon. Good seller.
j*****6,5,"Items received in good condition, good packaging wrap with bubble wrap.
Delivery was super fast！"
0*****g,5,"Well packaging, received with a little bit changed of its container. But overall okay"
n*****9,5,Good product quality .good value for money .very fast delivery.
