username,rating,comment
jyap1223,5,Fast delivery 👍👍👍Well packaging and received the item in good condition 👍👍👍Good value and good product 👍👍👍Highly recommended 👍👍👍
x*****n,5,good packaging fast delivery nice nice nice baik baik baik baik
hlsoo0714,5,This is new to me. That’s why I only buy one to try. Thanks seller
jiaqisone0904,5,"receive the parcel safely, fast delivery, 酸辣粉yyds 很好吃很好吃很好吃"
a*****6,5,Good product!veryyy cheap….will buy it again!!!!!!!!!!!
e*****g,5,fast ship out and seller is responsive. good product as advertised. 
y*****1,5,Need to improve in packaging. Anyway thank you seller.........
l*****n,4,Packing nice no taste yet but so excited to try shipping very fast and things cheap worth buying it!
c*****3,5,Come with a box for three items and packaging okay overall 👍🏻
l*****8,5,Fast delivery. Placed order on 27 Sept and received it on 1 Oct. Expiry date has 6 months validity. Value for money.
e*****v,3,Packaging is so bad. I hope seller improve the packaging pls
cklyuchang,5,很好！也很好吃！只不过酸辣粉的盒子有瑕疵不过还是很好吃，谢谢你。thank l so very like ..
l*****2,2,"Unfortunately when I receive the parcel, the product already like this. I know if buy one will like this but I don't expect buy a box also will like this😑"
j*****0,5,Highly recommended
me.onexox,5,"Taste:good
Quality:good

Well pack, fast delivery"
j*****8,1,"Quite slow delivery, the seller didn't even wrap the product nicely with bubble wrap, i think the seller want us to purchase a box instead of only normal bubble wrap wrapping, 东西来的时候的状况都是被压开了 bubble wrap都完全没有包好物品 有包等于没包 面都暴露在纸袋外 病毒时期这么严重都不懂还能不能吃 不会再回购"
d*****g,5,"Received in 3 days via Pos Laju, no damage. The cup's material is made in paper, safer. Delicious! The Chinese beehoon taste very good. I like it since it is spicy with a little sour. The soup smells very nice. Inside included peanut. Bought when it's RM3 and free delivery. "
l*****q,3,"Fast delivery,the only things is the  seller send me two damaged cups, the rest is OK, it's not the logistic prob cause there is no damage on the box outside."
luckygrocer_itstartswithyou,3,"Deleted 2 stars for the fragile packaging, dented cup noodle, 2 wrong items and all melted sweets. Delivery is also not that fast as advertised though it is within the same state."
t*****i,5,很快就收到货了，送货服务很不错，卖家回复信息也很快，重点盒子没有损坏，完完整整。第一次下单，如果好吃还会继续购买。
t*****h,1,2nd time buying from this seller but unfortunately they left out my order...I was looking forward to this noodle as I loved it from my last purchase. I hope they don't do the same mistakes again as I will still buy from them.
yilingsoo,3,"sausage manufacture date 2020 September, the product expiry stated 9 months after manufacture date, which is suppose to expire by June 2021, I ordered and received product on July 202. product has already expired. but since cheap price, I won't ask for a refund. it won't let me rate 1 star idk why."
yvonnehan,5,Nice delicious and fast delivery. Good packing. My family like it very very much. Will repeat order again. Happy Chinese New year. 
boonler_21,5,Fast delivery and product quality okay. Nice packing from seller. 
fanfan329,5,"Place order: 20-9-2020
Shipping order: 21-9-2020
Order received: 22-9-2020

Items received in good condition with good packaging.

Thanks for seller and courier service."
icelcebaby,5,"Originally thought that the goods were missing, but an accidental courier sent it over and made a false alarm!  This is my second purchase, it's cheap and delicious, it's worth buying"
